流水号,平台用户编号,金额
268103232582583327,119321,0.50
268103232582583328,109310,111.39
268103232582583329,112732,365.46
268103232582583330,111657,171.96
268103232582583331,111658,10.61
268103232582583332,112733,11.51
268103232582583333,118348,6990.69
268103232582583334,115968,37067.69
268103232582583335,119331,4.23
268103232582583336,119334,25790.28
268103232582583337,111664,9483.69
268103232582583338,115974,218.21
268103232582583339,117023,20.64
268103232582583340,118359,12.83
268103232582583341,119336,11.16
268103232582583342,117028,654.95
268103232582583343,119337,200.47
268103232582583344,114078,2.44
268103232582583345,115995,125.50
268103232582583346,110751,352.62
268103232582583347,119338,1314.01
268103232582583348,110755,755.76
268103232582583349,118365,237.74
268103232582583350,119342,1399.47
268103232582583351,11076,113.28
268103232582583352,117037,43.01
268103232582583353,119345,6.26
268103232582583354,114089,187.06
268103232582583355,116042,1415.41
268103232582583356,118387,241.39
268103232582583357,110763,427576.55
268103232582583358,11409,38.46
268103232582583359,117044,1896.79
268103232582583360,110025,23199.10
268103232582583361,114090,684.46
268103232582583362,119354,1777.88
268103232582583363,116054,8.82
268103232582583364,110768,2111.12
268103232582583365,117055,796.86
268103232582583366,109334,561.95
268103232582583367,119363,192.42
268103232582583368,119364,433.70
268103232582583369,116063,559.49
268103232582583370,119365,32.11
268103232582583371,112764,160.22
268103232582583372,116064,301.77
268103232582583373,109338,43.90
268103232582583374,11170,58170.91
268103232582583375,119368,76399.00
268103232582583376,117061,1359.87
268103232582583377,116065,1710.05
268103232582583378,110780,901.81
268103232582583379,109341,1840.86
268103232582583380,116071,113.13
268103232582583381,116072,121.93
268103232582583382,119381,332.88
268103232582583383,1108,322.25
268103232582583384,118424,50.99
268103232582583385,11080,11613.61
268103232582583386,119384,115.78
268103232582583387,114125,32236.77
268103232582583388,118426,585.19
268103232582583389,119385,308.11
268103232582583390,119387,90.34
268103232582583391,116083,82.09
268103232582583392,110055,47123.55
268103232590971906,111740,412.40
268103232590971907,109352,549.47
268103232590971908,110823,2728.26
268103232590971909,110827,203.15
268103232590971910,114147,39.96
268103232590971911,119392,12871.99
268103232590971912,110070,39414.76
268103232590971913,11415,365.26
268103232590971914,110838,15209.88
268103232590971915,11176,52237.63
268103232590971916,117119,15.77
268103232590971917,1161,1176.58
268103232590971918,110079,114.50
268103232590971919,119402,18403.55
268103232590971920,116100,775.62
268103232590971921,119403,55375.84
268103232590971922,112826,474.01
268103232590971923,112827,1220.75
268103232590971924,114163,252.64
268103232590971925,114165,657.93
268103232590971926,119407,1994.89
268103232590971927,116110,142.49
268103232590971928,111794,325.33
268103232590971929,117138,74493.42
268103232590971930,110868,24931.02
268103232590971931,110871,52.90
268103232590971932,118487,729144.46
268103232590971933,11420,432.64
268103232590971934,118488,1477.00
268103232590971935,111806,163.98
268103232590971936,118491,9.23
268103232590971937,109381,303.58
268103232590971938,119429,724.80
268103232590971939,114203,21766.71
268103232590971940,114205,22.34
268103232590971941,111817,252.85
268103232590971942,1185,66.79
268103232590971943,11850,1364.00
268103232590971944,114211,52119.90
268103232590971945,11182,432.47
268103232590971946,117161,635.68
268103232590971947,11944,3764.19
268103232590971948,116135,10372.29
268103232590971949,110895,14779.56
268103232590971950,112871,314.25
268103232590971951,119441,2946.81
268103232599360512,11422,23.15
268103232599360513,110902,449.10
268103232599360514,119444,890.27
268103232599360515,119445,384.03
268103232599360516,111826,212.27
268103232599360517,118511,219.16
268103232599360518,11014,234.71
268103232599360519,11424,54080.61
268103232599360520,119460,297.73
268103232599360521,110926,1011.49
268103232599360522,117181,10.43
268103232599360523,11184,58949.57
268103232599360524,117185,2005.18
268103232599360525,11427,55524.17
268103232599360526,118524,276.98
268103232599360527,111851,9022.48
268103232599360528,114282,143764.25
268103232599360529,118529,8600.00
268103232599360530,1172,672.86
268103232599360531,110942,115.53
268103232599360532,110160,54177.87
268103232599360533,1143,150307.28
268103232599360534,116161,3.46
268103232599360535,110944,611.38
268103232599360536,117200,783.50
268103232599360537,110161,317.24
268103232599360538,110945,6855.55
268103232599360539,117209,245.78
268103232599360540,118542,1020.24
268103232599360541,119488,5425.51
268103232599360542,119492,57.59
268103232599360543,11095,5000.00
268103232599360544,117218,5.00
268103232599360545,116172,4931.28
268103232599360546,114329,336.80
268103232599360547,109428,1384.27
268103232599360548,110175,11493.60
268103232599360549,112956,25168.36
268103232599360550,11097,27.73
268103232599360551,114392,872.75
268103232599360552,117238,1660.11
268103232599360553,110972,2312.35
268103232599360554,110183,330347.57
268103232599360555,112973,5.00
